review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R26CC1STPSUHBS,1,27,39,N,N
R7K83D59T9KWS,1,16,26,N,N
R2ATG5BPVILHUM,1,16,25,N,N
R1Q71TAM5ZOYTK,3,57,61,N,N
RR8HYI7C2XKMU,5,25,25,N,Y
R1VDCSJE4CJJIR,1,88,97,N,Y
R2PZMSDKOO1Q6W,1,29,43,N,Y
R39OOYN0DOLINK,3,91,111,N,N
R1PLNHJZ8BKIBG,1,44,46,N,Y
R3UTVKJF44E0R6,1,46,69,N,N
R2CAD5FOVMTR2L,2,17,28,N,N
R2SW9V1EDQH6O7,5,27,29,N,N
R3SI1TZD809Y0T,5,24,24,N,Y
R2V0VLBRWCMX3I,1,563,601,N,N
R34R79B2P5DJD,1,87,112,N,N
R4D6AQ86X5RQG,1,22,26,N,N
R1BSZ4PB99TN8D,1,61,90,N,N
R1QMF01BDRT2LJ,1,10,20,N,N
R2NBUUW79OYBGT,1,57,58,N,Y
R24OEFISZWTBDJ,4,17,25,N,N
R3I31WIPPMW97Q,1,240,333,N,N
R24ZL032XP6FRE,1,19,35,N,N
R3083YRMKKKBZP,1,24,29,N,Y
R2R6ATLN37MO4I,1,19,32,N,Y
R2IZ45NW1Q9PV9,1,33,50,N,N
R332X4AL3SP5A3,1,18,34,N,N
R768TP1NA1GBH,5,13,24,N,N
R3Q7YDMV3PPLGK,1,11,22,N,Y
R3225T2O84HXOB,2,23,37,N,N
R1102PNEMP5VC5,2,36,53,N,N
R3424KCI11PZT5,1,73,77,N,Y
R3VVGKUVVLFA5Q,2,21,27,N,N
R2QINH2J1JCSMY,1,16,24,N,N
RF8Z3512CTNA7,1,93,133,N,N
R3W3KEOFDIJL1K,2,49,71,N,N
R1OBZG85AMALCM,2,25,34,N,N
R38G3KSNC0CYHV,1,17,29,N,N
RWGN84WWEBE0C,2,29,41,N,N
R75QB3Y9G3CON,1,15,26,N,N
R6A9T3U65BCUE,1,11,20,N,N
RFVBN8RXTDMUD,1,17,23,N,N
R3E9P8SZEMFTBK,2,12,20,N,N
R3THE3WCZFFEDH,1,12,22,N,N
R18IXJ8DBOLN58,1,11,22,N,N
R2X1YVD60T1XKN,1,32,38,N,Y
R2L6NBP63GKJIB,1,26,42,N,N
R3LIHP6UFVWF26,5,18,21,N,Y
REEWT1ZF682JU,2,14,24,N,N
R12JNYB9X22XO7,1,18,31,N,N
R3PYUKPORPTLE3,1,42,47,N,N
R2JZ4P90INN9FX,3,55,59,N,Y
R1J9535OX7TYCV,1,19,35,N,N
R3OU1256BHU03N,1,18,32,N,N
R3PT4YY3P78CHU,1,33,50,N,N
R1ERZIUSV9T4EI,1,22,33,N,N
RGZM6YQQ37VNX,4,65,85,N,N
R39P1RL84L0VAG,1,19,27,N,N
R1KYA9DSVUG2GI,2,29,48,N,N
RK1JXIKELGUH5,1,19,36,N,N
R2W6YLF4MISRC1,5,22,22,N,Y
R2QJC8XEHEXOAW,5,13,26,N,N
RNBQMV192CQ52,4,86,124,N,N
R27AWISZ7TRBC2,3,19,29,N,N
R2R8J1CVVW5Q4Y,5,30,54,N,N
R1OGNAKLXV86GO,5,35,63,N,N
R2B5ZDGMDHT9MX,1,28,48,N,N
RXSMV4CILL6KC,3,123,168,N,N
R33Z2DDEWZ2U51,5,25,26,N,Y
R2QX8YTUH9NQU8,1,42,49,N,N
RL8XFCCOGY2OL,1,30,56,N,N
R2M87GYJMOBF4P,1,34,61,N,N
R3ASS3QU1RY3UX,1,23,45,N,N
R98UYK0L849X8,1,18,21,N,N
R10UHXWFO0Y5QF,2,11,21,N,N
R1T9KTP797JFLK,1,23,27,N,N
R16TEFXOA15ZJL,3,15,28,N,N
R1HG5MLOSAX6DN,5,23,36,N,N
RTU2ATDHUH4RV,5,29,53,N,N
R30BJO8Y5TVHEU,4,11,21,N,N
R3D32AMB61QJYD,5,15,29,N,N
R28YJTK9G11B15,5,18,30,N,N
R1XDF6S1N7NDMB,1,32,56,N,N
R3IVYDQY02S3M5,5,12,24,N,N
RMFT5IBUBS331,1,28,40,N,N
R2B7E9SBT5HEOW,5,56,57,N,Y
R2S584UDZMDKE3,1,19,31,N,N
R2RY2XV1M1VJMY,1,32,35,N,N
R3IVZNPQZLX8N2,1,29,37,N,Y
R8I1GUKVDGD02,2,18,20,N,Y
